sym,ret_10,avg_rng_10,ann_vol_10,eff_10,trend_eff_10,n2_10,n3_10,corr_spy_10,ret_21,avg_rng_21,ann_vol_21,eff_21,trend_eff_21,n2_21,n3_21,corr_spy_21,ret_63,avg_rng_63,ann_vol_63,eff_63,trend_eff_63,n2_63,n3_63,corr_spy_63,mfe10,p5,mfe10r,p5r,last
SPY,-2.1219974551692555,0.7865043867935463,10.533479088783027,0.38615186450475864,0.28937814144394447,0,0,1.0,0.7760078661285252,0.989042847670719,11.373345309752738,0.06874686025315574,0.3480767059015213,0,0,1.0,4.302347317349886,0.9722421853044814,12.97228156156938,0.1111496999960394,0.4205129111379139,1.0,0.0,1.0,2.4125749183704883,0.0,2.145076228783317,0.0,738.92999
SQQQ,18.554790894653237,4.227043290033501,62.030384655614924,0.4948047927952011,0.4049716977337285,7,7,-0.8664352929633724,10.729295426452401,4.952238315136257,70.39208765173639,0.14936038752828382,0.4484977837855569,16,15,-0.8879303454317472,-19.529284944304703,4.762317306091903,73.32172789490475,0.06609705510766359,0.457247475720253,40.0,34.0,-0.9142338282966922,12.069439281084986,98.33333333333333,10.774297599948984,100.0,44.79
TLT,-1.4442997513910205,0.45316914393917385,5.66149936103236,0.47960062245636015,0.4828760603915844,0,0,0.11940314274219688,-4.7264820325017105,0.4808656934766135,7.030307934490571,0.6955389229763574,0.46020496108379916,0,0,0.11998765973328471,-3.812824956672445,0.5497917498964867,8.886798307382605,0.14067415485674178,0.46300678871351353,0.0,0.0,0.383375966661729,1.8328163384912148,0.0,1.819035278482211,0.0,83.25
TQQQ,-16.91548639381393,4.41551162565814,61.3753009939362,0.4969197592840906,0.4032760336102318,7,7,0.8673767399466272,-12.68758526603001,5.011991468574649,69.44289916294359,0.14461732086153056,0.4463099349275428,16,15,0.8878177292661555,8.071597433299571,4.794237156236003,72.76169959838859,0.06296539172759508,0.45405275117708677,40.0,33.0,0.9144916719312477,13.084684817186986,98.33333333333333,10.665967695753961,100.0,64.0
TSLA,-23.231805149308304,3.811167109701002,72.42593868417976,0.8125157855212779,0.4623263070064284,6,2,0.7558426325256535,-16.643144622267194,4.418809526142175,75.22624199251828,0.23311832763481685,0.5243389555740615,13,7,0.784974548538526,-16.239430857326354,4.005766629925955,56.09809058482049,0.0846626031911308,0.46940372068925895,32.0,19.0,0.6907768155340326,8.258843157963408,90.0,7.725096477155232,95.45454545454545,313.029999
USO,25.749770009199622,2.907388485962792,50.23729719443825,0.7603713315288102,0.30511077296866185,7,3,-0.47498151055518945,28.60099727161538,2.739282046754215,47.91426313013425,0.48452237266846226,0.3749102373229173,13,6,-0.3460741563570937,1.4622921615201845,3.0735579973080127,51.20306574911838,0.02775518292273426,0.35541132402870185,38.0,20.0,-0.32479855032084043,12.944922861094401,100.0,14.970681239849462,100.0,136.69
UUP,0.6692497358224747,0.27454773341020167,5.049788896479859,0.24778321534229547,0.6083250083250135,0,0,-0.4485568152962106,0.1752541184717682,0.2783101959493617,4.464794295421867,0.03795811923172253,0.5593205736062831,0,0,-0.36308629161041095,3.814021067925899,0.30976353473779616,4.90097602129885,0.2447131299937474,0.4726356630969779,0.0,0.0,-0.5449685187312859,0.9640994766283107,0.0,0.6872341767969856,0.0,28.58
UVXY,8.23986194995685,4.6029880667218945,80.15657469398933,0.21439976695136664,0.3302048803615263,9,5,-0.9498632935179872,-9.258589511754067,4.95918318220376,64.2572928446862,0.11425616886272119,0.35417282111701137,16,9,-0.8846277936095354,-35.617141390813444,5.137233713796081,67.3199123633489,0.1761040281375537,0.4302193558090915,45.0,29.0,-0.7804159304751601,9.804453813802802,93.33333333333333,9.730760115348026,100.0,25.09
VIXY,5.40806293018683,3.429452165202183,51.09319488764585,0.20992941833662293,0.2837268752376449,6,3,-0.9434595106720216,-6.416412047140985,3.670555126402389,42.36687236970348,0.12327103859488689,0.3257957691485332,9,4,-0.8905027790837845,-24.798316380217468,3.597039033751305,44.52292194622927,0.1784217598794984,0.4271700045775547,31.0,15.0,-0.7950601630957531,6.590042198525898,78.33333333333333,6.3715260155504545,86.36363636363636,21.44
XLB,0.7270583611711512,1.6628821415915696,16.19833097553517,0.09614848897850514,0.542160359704014,0,0,0.40000630448270924,0.1954652071931129,1.6051344175128217,18.797359655633162,0.017375386423773592,0.49718215171185554,1,0,0.09666485045610676,-1.0615711252654036,1.569745338834112,19.77504439572793,0.009494083893657692,0.49663792841833637,5.0,1.0,0.5400631072011707,2.920768510887061,13.333333333333334,2.727759318851631,4.545454545454546,51.26
